10,8
110,16
210,16
310,16
410,16
510,16
610,16
710,16
810,16
910,16
1010,17
1110,21
1210,24
1310,29
1410,33
1510,38
1610,43
1710,49
1810,55
1910,61
2010,68
2110,74
2210,81
2310,89
2410,98
2510,105
100,10
200,16
300,16
400,16
500,16
600,16
700,15
800,16
900,16
1000,17
1100,20
1200,24
1300,28
1400,33
1500,38
1600,43
1700,48
1800,54
1900,60
2000,67
2100,74
2200,81
2300,88
2400,96
2500,104
2600,113
2700,121
2800,130
2900,140
3000,150
3100,160
3200,171
3300,181
3400,192
3500,203
3600,216
100,11
200,15
300,16
100,14
100,16
2000,68
2000,67
2000,67
2000,67
2000,69
2000,70
2000,70
2000,70
2000,70
2000,70
2000,70
2000,73
2000,74
2000,77
2000,72
2000,73
2000,72
2000,74
2000,75
2000,74
2000,75
2000,77
2000,75
2000,74
2000,76
2000,74
2000,70
2000,70
2000,68
2000,71
2000,74
2000,72
2000,71
2000,72
2000,72
2000,72
2000,72
2000,72
2000,72
2000,72
2000,75
2000,75
2000,74
2000,73
2000,75
2000,76
2000,76
2000,76
2000,72
2000,67
2000,67
2000,67
2000,67
2000,67
2000,70
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,67
2000,74
2000,74
2000,70
2000,67
2000,67
2000,67
2000,67
2000,68
