100,12
200,16
300,16
400,16
500,16
600,16
700,16
800,16
900,16
1000,17
1100,20
1200,24
1300,28
1400,33
1500,37
1600,43
1700,48
1800,54
1900,60
2000,66
2100,73
2200,81
2300,88
2400,96
2500,106
2600,113
2700,122
2800,130
2900,140
3000,150
3100,159
3200,170
3300,186
3400,210
3500,215
3600,220
3700,227
100,15
200,16
300,16
400,16
500,15
600,16
700,16
800,15
900,16
1000,16
1100,15
1200,16
1300,16
1400,15
1500,16
1600,16
1700,16
1800,16
1900,16
2000,16
2100,18
2200,20
2300,21
2400,23
2500,26
2600,27
2700,30
2800,32
2900,35
3000,36
3100,39
100,15
200,15
300,15
400,15
500,15
600,16
700,16
800,15
900,16
1000,15
1100,15
1200,16
1300,15
1400,16
1500,15
1600,16
1700,16
1800,16
1900,16
2000,16
2100,18
2200,20
2300,21
2400,23
2500,25
2600,27
2700,30
2800,32
2900,34
3000,37
3100,39
3200,42
3300,44
3400,47
3500,50
3600,53
3700,56
3800,59
3900,62
4000,65
4100,68
4200,71
4300,75
4400,78
4500,82
4600,86
4700,89
4800,93
4900,97
5000,101
5100,105
5200,109
100,8
200,15
300,15
400,16
500,15
600,16
700,16
800,15
900,16
1000,16
100,15
200,16
300,16
400,16
500,15
600,16
700,16
800,15
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
1600,16
1700,16
1800,16
1900,16
2000,16
2100,18
2200,19
2300,21
2400,23
2500,25
2600,27
2700,29
2800,31
100,13
200,16
300,15
400,16
500,16
600,16
700,16
800,15
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
100,11
200,15
300,16
400,16
500,16
600,16
700,16
800,16
900,16
1000,16
1100,16
1200,16
1300,16
100,14
200,16
300,15
400,16
500,15
600,16
700,16
800,16
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
1600,16
1700,15
100,12
200,16
300,16
400,15
500,15
600,16
700,16
800,16
900,16
1000,15
1100,16
1200,16
1300,15
1400,16
1500,16
1600,16
1700,16
1800,16
1900,15
2000,16
2100,18
2200,19
2300,21
2400,23
2500,26
100,15
200,15
300,15
400,16
500,16
600,16
700,25
800,21
900,16
1000,16
1100,15
1200,16
1300,16
1400,16
1500,15
1600,16
1700,16
100,13
200,15
300,16
400,16
100,15
200,16
300,16
400,16
500,16
100,15
200,16
100,15
100,15
200,16
300,16
400,16
500,15
600,16
700,16
800,16
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,15
1600,16
1700,15
1800,15
1900,16
2000,16
2100,18
2200,23
2300,22
2400,27
100,15
200,15
300,15
400,15
500,16
600,16
700,16
800,16
900,16
1000,16
1100,15
1200,16
1300,16
1400,15
1500,16
1600,16
1700,15
1800,16
1900,15
2000,16
2100,18
2200,19
2300,21
2400,23
2500,25
2600,27
2700,29
2800,31
2900,34
3000,36
3100,39
3200,41
3300,44
3400,47
3500,49
3600,52
3700,56
3800,59
3900,62
4000,67
4100,71
4200,71
100,7
200,16
300,16
400,16
500,15
600,15
700,16
800,16
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
1600,16
1700,16
1800,16
1900,15
2000,16
2100,20
2200,27
2300,30
2400,23
2500,25
2600,29
2700,29
2800,32
2900,34
3000,37
3100,39
3200,42
3300,44
3400,47
3500,50
3600,53
3700,56
3800,59
3900,62
4000,65
4100,68
4200,72
4300,76
4400,78
4500,82
4600,87
4700,89
4800,94
4900,97
5000,102
5100,105
5200,111
5300,118
5400,291
5500,165
100,22
200,16
300,16
400,19
500,16
100,13
200,15
300,15
400,15
500,15
600,15
700,16
800,16
900,16
1000,16
1100,16
1200,16
1300,16
1400,16
1500,16
1600,16
1700,16
1800,16
1900,16
2000,16
100,9
100,11
200,16
300,16
400,16
500,16
600,16
700,16
800,15
900,16
1000,16
1100,19
1200,24
1300,18
1400,29
1500,28
1600,29
1700,21
1800,16
1900,17
2000,18
2100,22
2200,21
2300,23
2400,24
2500,28
2600,30
2700,32
2800,35
2900,37
3000,41
3100,43
3200,46
3300,54
3400,50
3500,55
3600,56
3700,58
3800,65
3900,66
4000,74
4100,73
4200,81
4300,90
4400,102
4500,105
4600,102
100,12
200,15
300,16
400,16
500,16
600,16
